-- 10 CIUDADES
ITERACIONES LONGITUD_MINIMA_ENCONTRADA
1 1828
2 1627
3 1627
4 1614
5 1614
6 1614
7 1614
8 1585
9 1585
10 1455
11 1455
12 1455
13 1455
14 1455
15 1455
16 1455
17 1455
18 1455
19 1455
20 1455
21 1455
22 1455
23 1455
24 1455
25 1455
26 1455
27 1455
28 1455
29 1455
30 1455
31 1455
32 1455
33 1455
34 1455
35 1455
36 1455
37 1455
38 1455
39 1455
40 1455
41 1455
42 1455
43 1455
44 1455
45 1455
46 1455
47 1455
48 1455
49 1455
50 1455
51 1455
52 1455
53 1455
54 1455
55 1455
56 1455
57 1455
58 1455
59 1455
60 1455
61 1455
62 1455
63 1455
64 1455
65 1455
66 1455
67 1455
68 1455
69 1455
70 1455
71 1455
72 1455
73 1455
74 1455
75 1455
76 1455
77 1455
78 1455
79 1455
80 1455
81 1455
82 1455
83 1455
84 1455
85 1455
86 1455
87 1455
88 1455
89 1455
90 1455
91 1455
92 1455
93 1455
94 1455
95 1455
96 1455
97 1455
98 1455
99 1455
100 1455
-- 20 CIUDADES
1 3193
2 3130
3 2746
4 2409
5 2409
6 2409
7 2409
8 2305
9 2305
10 2305
11 2215
12 2215
13 2215
14 2215
15 2215
16 2030
17 2030
18 2030
19 2030
20 2030
21 2030
22 2030
23 2030
24 2030
25 2030
26 2030
27 2030
28 2030
29 2030
30 2030
31 2030
32 2030
33 2030
34 2030
35 2030
36 2030
37 2030
38 2030
39 2030
40 2030
41 2030
42 2030
43 2030
44 2030
45 2030
46 2030
47 2030
48 2030
49 2030
50 2030
51 2030
52 2030
53 2030
54 2030
55 2030
56 2030
57 2030
58 2030
59 2030
60 2030
61 2030
62 2030
63 2030
64 2030
65 2030
66 2030
67 2030
68 2030
69 2030
70 2030
71 1974
72 1974
73 1974
74 1974
75 1974
76 1974
77 1974
78 1974
79 1974
80 1974
81 1974
82 1974
83 1974
84 1974
85 1974
86 1974
87 1974
88 1974
89 1974
90 1974
91 1974
92 1974
93 1974
94 1974
95 1974
96 1967
97 1967
98 1967
99 1967
100 1967
-- 30 CIUDADES
1 4544
2 4544
3 3761
4 3761
5 3761
6 3761
7 3761
8 3761
9 3761
10 3761
11 3761
12 3761
13 3761
14 3761
15 3570
16 3570
17 3570
18 3570
19 3570
20 3570
21 3570
22 3482
23 3482
24 3482
25 3482
26 3482
27 3482
28 3482
29 3482
30 3482
31 3482
32 3482
33 3482
34 3230
35 3230
36 3230
37 3230
38 3230
39 3230
40 3230
41 3230
42 3230
43 3230
44 3230
45 3230
46 3230
47 3230
48 3230
49 3230
50 3230
51 3230
52 3230
53 3230
54 3230
55 3230
56 3230
57 3230
58 3230
59 3230
60 3230
61 3230
62 3230
63 3230
64 3230
65 3230
66 3230
67 3230
68 3230
69 3230
70 3230
71 3230
72 3230
73 3230
74 3230
75 3230
76 3230
77 3230
78 3230
79 3230
80 3230
81 3230
82 3230
83 3230
84 3230
85 3230
86 3230
87 3230
88 3230
89 3230
90 3230
91 3230
92 3230
93 3230
94 3230
95 3230
96 3230
97 3230
98 3230
99 3230
100 3230
