-- 10 CIUDADES
ITERACIONES LONGITUD_MINIMA_ENCONTRADA
1 2611
2 2578
3 2578
4 2578
5 2307
6 2307
7 2307
8 2307
9 2307
10 2102
11 2102
12 2102
13 2102
14 2102
15 2102
16 2102
17 2102
18 2102
19 2102
20 2102
21 2102
22 2102
23 2102
24 2102
25 2102
26 2102
27 2102
28 2102
29 2102
30 2102
31 2102
32 2102
33 2102
34 2102
35 2102
36 2102
37 2102
38 2102
39 2102
40 2102
41 2102
42 2102
43 2102
44 2102
45 2102
46 2102
47 2102
48 2102
49 2102
50 2102
51 2102
52 2102
53 2102
54 2102
55 2102
56 2102
57 2102
58 2102
59 2102
60 2102
61 2102
62 2102
63 2102
64 2102
65 2102
66 2102
67 2102
68 2102
69 2102
70 2102
71 2102
72 2102
73 2102
74 2102
75 2102
76 2102
77 2102
78 2102
79 2102
80 2102
81 2102
82 2102
83 2102
84 2102
85 2102
86 2102
87 2102
88 2102
89 2102
90 2102
91 2102
92 2102
93 2102
94 2102
95 2102
96 2102
97 2102
98 2102
99 2102
100 2102
-- 20 CIUDADES
1 3214
2 2893
3 2893
4 2893
5 2893
6 2893
7 2596
8 2596
9 2596
10 2433
11 2433
12 2433
13 2433
14 2433
15 2433
16 2433
17 2433
18 2433
19 2433
20 2433
21 2433
22 2433
23 2433
24 2433
25 2433
26 2433
27 2433
28 2433
29 2433
30 2433
31 2433
32 2433
33 2433
34 2433
35 2433
36 2433
37 2433
38 2433
39 2433
40 2433
41 2433
42 2433
43 2433
44 2433
45 2433
46 2433
47 2433
48 2214
49 2214
50 2214
51 2214
52 2214
53 2214
54 2214
55 2214
56 2214
57 2214
58 2214
59 2214
60 2214
61 2214
62 2214
63 2214
64 2214
65 2214
66 2214
67 2214
68 2214
69 2214
70 2214
71 2214
72 2214
73 2214
74 2214
75 2214
76 2214
77 2214
78 2214
79 2214
80 2214
81 2214
82 2214
83 2214
84 2214
85 2214
86 2214
87 2214
88 2214
89 2214
90 2214
91 2214
92 2214
93 2214
94 2214
95 2214
96 2214
97 2214
98 2214
99 2214
100 2214
-- 30 CIUDADES
1 3695
2 3695
3 3695
4 2852
5 2852
6 2852
7 2852
8 2852
9 2852
10 2852
11 2852
12 2852
13 2852
14 2852
15 2852
16 2852
17 2852
18 2852
19 2852
20 2852
21 2852
22 2852
23 2852
24 2852
25 2852
26 2852
27 2852
28 2852
29 2852
30 2852
31 2852
32 2852
33 2852
34 2852
35 2852
36 2852
37 2852
38 2852
39 2852
40 2852
41 2852
42 2852
43 2852
44 2852
45 2852
46 2852
47 2852
48 2852
49 2852
50 2852
51 2852
52 2852
53 2852
54 2852
55 2852
56 2852
57 2852
58 2852
59 2852
60 2852
61 2852
62 2852
63 2852
64 2852
65 2852
66 2852
67 2852
68 2852
69 2852
70 2852
71 2852
72 2852
73 2852
74 2852
75 2852
76 2852
77 2852
78 2852
79 2852
80 2852
81 2852
82 2852
83 2852
84 2852
85 2852
86 2852
87 2852
88 2852
89 2852
90 2852
91 2852
92 2852
93 2852
94 2852
95 2852
96 2852
97 2852
98 2852
99 2852
100 2852
