-- 10 CIUDADES
ITERACIONES LONGITUD_MINIMA_ENCONTRADA
1 2316
2 2316
3 2316
4 2310
5 2310
6 2077
7 2077
8 2077
9 1742
10 17421 2781
2 2781
3 2781
4 2781
5 2781
6 2520
7 2071
8 2071
9 2071
10 2071
11 2071
12 2071
13 2071
14 2071
15 2071
16 2071
17 2071
18 2071
19 2071
20 2071
21 2071
22 2071
23 2071
24 2071
25 2071
26 2071
27 2071
28 2071
29 2071
30 2071
31 2071
32 2071
33 2071
34 2071
35 2071
36 2071
37 2071
38 2071
39 2071
40 2071
41 2071
42 2071
43 2071
44 2071
45 2071
46 2071
47 2071
48 2071
49 2071
50 2071
51 2071
52 2071
53 2071
54 2071
55 2071
56 2071
57 2071
58 2071
59 2071
60 2071
61 2071
62 2071
63 2071
64 2071
65 2071
66 2071
67 2071
68 2071
69 2071
70 2071
71 2071
72 2071
73 2071
74 2071
75 2071
76 2071
77 2071
78 2071
79 2071
80 2071
81 2071
82 2071
83 2071
84 2071
85 2071
86 2071
87 2071
88 2071
89 2071
90 2071
91 2071
92 2071
93 2071
94 2071
95 2071
96 2071
97 2071
98 2071
99 2071
100 2071
11 1742
12 1735
13 1735
14 1735
15 1735
16 1735
17 1735
18 1735
19 1735
20 1735
21 1735
22 1735
23 1735
24 1735
25 1735
26 1735
27 1735
28 1735
29 1735
30 1735
31 1735
32 1735
33 1735
34 1735
35 1735
36 1735
37 1735
38 1735
39 1735
40 1735
41 1735
42 1735
43 1735
44 1735
45 1735
46 1735
47 1735
48 1735
49 1735
50 1735
51 1735
52 1735
53 1735
54 1735
55 1735
56 1735
57 1735
58 1735
59 1735
60 1735
61 1735
62 1735
63 1735
64 1735
65 1735
66 1735
67 1735
68 1735
69 1735
70 1735
71 1735
72 1735
73 1735
74 1735
75 1735
76 1735
77 1735
78 1735
79 1735
80 1735
81 1735
82 1735
83 1735
84 1735
85 1735
86 1735
87 1735
88 1735
89 1735
90 1735
91 1735
92 1735
93 1735
94 1735
95 1735
96 1735
97 1735
98 1735
99 1735
100 1735
-- 20 CIUDADES
1 3234
2 3234
3 3234
4 3234
5 3234
6 3234
7 3234
8 3234
9 3151
10 3151
11 3151
12 3151
13 3151
14 3151
15 3151
16 3151
17 3151
18 2799
19 2799
20 2799
21 2799
22 2799
23 2799
24 2799
25 2799
26 2799
27 2799
28 2799
29 2799
30 2799
31 2799
32 2799
33 2799
34 2799
35 2799
36 2799
37 2799
38 2799
39 2799
40 2799
41 2799
42 2799
43 2799
44 2799
45 2799
46 2799
47 2799
48 2799
49 2799
50 2799
51 2799
52 2799
53 2799
54 2799
55 2799
56 2799
57 2799
58 2799
59 2799
60 2799
61 2799
62 2799
63 2799
64 2799
65 2799
66 2799
67 2799
68 2799
69 2799
70 2799
71 2799
72 2799
73 2799
74 2799
75 2799
76 2799
77 2799
78 2799
79 2799
80 2799
81 2799
82 2799
83 2799
84 2799
85 2799
86 2799
87 2799
88 2799
89 2799
90 2799
91 2799
92 2799
93 2799
94 2799
95 2799
96 2799
97 2799
98 2799
99 2799
100 2799
-- 30 CIUDADES
1 4061
2 3966
3 3921
4 3921
5 3921
6 3724
7 3425
8 3425
9 3425
10 3425
11 3425
12 3425
13 3425
14 3425
15 3425
16 3425
17 3425
18 3425
19 3425
20 3425
21 3425
22 3425
23 3425
24 3425
25 3425
26 3425
27 3425
28 3425
29 3425
30 3425
31 3425
32 3425
33 3425
34 3425
35 3425
36 3425
37 3425
38 3425
39 3425
40 3425
41 3425
42 3425
43 3425
44 3425
45 3425
46 3425
47 3425
48 3425
49 3425
50 3425
51 3425
52 3425
53 3425
54 3425
55 3425
56 3425
57 3425
58 3425
59 3425
60 3425
61 3425
62 3425
63 3425
64 3425
65 3425
66 3425
67 3425
68 3425
69 3425
70 3425
71 3425
72 3425
73 3425
74 3425
75 3425
76 3425
77 3425
78 3425
79 3387
80 3387
81 3387
82 3387
83 3387
84 3387
85 3387
86 3387
87 3387
88 3387
89 3387
90 3387
91 3387
92 3387
93 3387
94 3387
95 3387
96 3387
97 3387
98 3387
99 3387
100 3387
