Iteraciones (eje x),Media de la población i-ésima (Eje y)
1,1450.7
2,1287.9
3,1363.33
4,1948.13
5,1265.11
6,908.6
7,1722.22
8,813.69
9,927.71
10,786.09
11,661.61
12,2736.3
13,3549.92
14,3382.79
15,1432.0
16,1051.77
17,3812.37
18,1341.28
19,1132.92
20,3571.09
21,1510.37
22,1586.18
23,3837.12
24,4311.74
25,3697.53
26,1474.68
27,1832.53
28,3637.7
29,3839.0
30,1430.21
31,4350.67
32,1203.92
33,1444.4
34,1769.69
35,1611.65
36,1851.01
37,5015.64
38,1253.91
39,1373.33
40,4597.67
41,1433.04
42,1791.3
43,5075.35
44,1492.75
45,4119.99
46,4896.22
47,4955.93
48,4717.09
49,1910.72
50,4955.93
51,4836.51
52,4657.38
53,4478.25
54,1373.33
55,1612.17
56,2030.14
57,4776.8
58,1433.04
59,1612.17
60,2209.27
61,1851.01
62,2209.27
63,4597.67
64,4537.96
65,1373.33
66,4597.67
67,4478.25
68,2268.98
69,5075.35
70,4119.99
71,4776.8
72,5314.19
73,4657.38
74,5553.03
75,5075.35
76,1791.3
77,2089.85
78,1492.75
79,4418.54
80,4717.09
81,4955.93
82,4597.67
83,4358.83
84,4597.67
85,1492.75
86,4119.99
87,1612.17
88,1671.88
89,4657.38
90,955.36
91,776.23
92,1015.07
93,3881.15
94,3522.89
95,537.39
96,1134.49
97,955.36
98,1313.62
99,1910.72
100,4896.22
101,5194.77
102,1612.17
103,1851.01
104,4896.22
105,1194.2
106,4060.28
107,4955.93
108,4776.8
109,4836.51
110,2209.27
111,1134.49
112,1731.59
113,4597.67
114,2030.14
115,5433.61
116,5314.19
117,4597.67
118,1433.04
119,4776.8
120,5075.35
121,4597.67
122,1731.59
123,1552.46
124,1492.75
125,4597.67
126,1671.88
127,5433.61
128,4836.51
129,5075.35
130,4418.54
131,4955.93
132,1492.75
133,955.36
134,1253.91
135,4717.09
136,1671.88
137,4955.93
138,4299.12
139,1791.3
140,4717.09
141,4776.8
142,5075.35
143,1851.01
144,1552.46
145,4597.67
146,4896.22
147,1552.46
148,4955.93
149,5135.06
150,4179.7
151,1791.3
152,1731.59
153,1970.43
154,4537.96
155,1492.75
156,1910.72
157,5194.77
158,5314.19
159,4418.54
160,1194.2
161,1433.04
162,1731.59
163,5075.35
164,2268.98
165,1910.72
166,5194.77
167,4955.93
168,1970.43
169,4955.93
170,2268.98
171,1731.59
172,5075.35
173,1253.91
174,656.81
175,776.23
176,1074.78
177,1433.04
178,1791.3
179,4179.7
180,1791.3
181,4418.54
182,4597.67
183,1313.62
184,1074.78
185,4478.25
186,4896.22
187,5075.35
188,4358.83
189,5135.06
190,2388.4
191,4836.51
192,1731.59
193,4060.28
194,4537.96
195,4000.57
196,4000.57
197,4657.38
198,4836.51
199,4537.96
200,1910.72
201,5314.19
202,4657.38
203,5314.19
204,4537.96
205,4597.67
206,1373.33
207,1492.75
208,4597.67
209,1910.72
210,4299.12
211,4896.22
212,4776.8
213,4657.38
214,4239.41
215,4358.83
216,1671.88
217,5732.16
218,5732.16
219,4896.22
220,4717.09
221,4358.83
222,4836.51
223,4358.83
224,4955.93
225,4836.51
226,5135.06
227,5373.9
228,1612.17
229,2209.27
230,5135.06
231,1970.43
232,4657.38
233,4896.22
234,1731.59
235,2149.56
236,4717.09
237,4358.83
238,4717.09
239,1910.72
240,1731.59
241,4478.25
242,1134.49
243,4537.96
244,4836.51
245,2507.82
246,4537.96
247,4776.8
248,4776.8
249,1671.88
250,1492.75
251,1910.72
252,2089.85
253,1492.75
254,1970.43
255,1433.04
256,1253.91
257,4657.38
258,1552.46
259,1671.88
260,4537.96
261,1552.46
262,1552.46
263,1134.49
264,4418.54
265,5075.35
266,5433.61
267,5194.77
268,5075.35
269,5075.35
270,5254.48
271,4717.09
272,4955.93
273,4836.51
274,1671.88
275,2089.85
276,2448.11
277,4896.22
278,2268.98
279,2089.85
280,1910.72
281,1851.01
282,4955.93
283,1313.62
284,1194.2
285,1851.01
286,2268.98
287,5612.74
288,5075.35
289,1433.04
290,4717.09
291,1970.43
292,4239.41
293,1492.75
294,4478.25
295,4537.96
296,1492.75
297,2089.85
298,4717.09
299,5194.77
300,5015.64
301,5314.19
302,2268.98
303,2149.56
304,2089.85
305,1552.46
306,4896.22
307,5075.35
308,5373.9
309,2388.4
310,5015.64
311,1970.43
312,1970.43
313,2268.98
314,4955.93
315,1253.91
316,1612.17
317,1791.3
318,4657.38
319,4955.93
320,4478.25
321,1731.59
322,4955.93
323,4955.93
324,4358.83
325,1552.46
326,4657.38
327,1373.33
328,1552.46
329,4657.38
330,4537.96
331,4717.09
332,4537.96
333,1671.88
334,1791.3
335,5075.35
336,1671.88
337,1313.62
338,1074.78
339,4597.67
340,4836.51
341,1134.49
342,4836.51
343,4955.93
344,4418.54
345,1373.33
346,4537.96
347,4717.09
348,5015.64
349,1910.72
350,4955.93
351,5135.06
352,2388.4
353,1253.91
354,4358.83
355,1373.33
356,2149.56
357,2149.56
358,4657.38
359,4896.22
360,2388.4
361,5254.48
362,4657.38
363,1970.43
364,1492.75
365,4836.51
