Iteraciones (eje x),Mejor individuo hasta el momento (Eje y)
1,4594
2,4998
3,4998
4,4998
5,5174
6,5174
7,5174
8,5174
9,5174
10,5174
11,5174
12,5174
13,5174
14,5174
15,5174
16,5174
17,5174
18,5174
19,5174
20,5174
21,5174
22,5174
23,5174
24,5174
25,5174
26,5174
27,5174
28,5174
29,5174
30,5174
31,5174
32,5174
33,5174
34,5174
35,5174
36,5174
37,5174
38,5174
39,5174
40,5174
41,5174
42,5174
43,5174
44,5174
45,5174
46,5174
47,5174
48,5174
49,5174
50,5174
51,5174
52,5174
53,5174
54,5174
55,5174
56,5174
57,5174
58,5174
59,5174
60,5174
61,5174
62,5174
63,5174
64,5174
65,5174
66,5174
67,5174
68,5174
69,5174
70,5174
71,5174
72,5174
73,5174
74,5174
75,5174
76,5174
77,5174
78,5174
79,5174
80,5174
81,5174
82,5174
83,5174
84,5174
85,5174
86,5174
87,5174
88,5174
89,5174
90,5174
91,5174
92,5174
93,5174
94,5174
95,5174
96,5174
97,5174
98,5174
99,5174
100,5174
101,5174
102,5174
103,5174
104,5174
105,5174
106,5174
107,5174
108,5174
109,5174
110,5174
111,5174
112,5174
113,5174
114,5174
115,5174
116,5174
117,5174
118,5174
119,5174
120,5174
121,5174
122,5174
123,5174
124,5174
125,5174
126,5174
127,5174
128,5174
129,5174
130,5174
131,5174
132,5174
133,5174
134,5174
135,5174
136,5174
137,5174
138,5174
139,5174
140,5174
141,5174
142,5174
143,5174
144,5174
145,5174
146,5174
147,5174
148,5174
149,5174
150,5174
151,5174
152,5174
153,5174
154,5174
155,5174
156,5174
157,5174
158,5174
159,5174
160,5174
161,5174
162,5174
163,5174
164,5174
165,5174
166,5174
167,5174
168,5174
169,5174
170,5174
171,5174
172,5174
173,5174
174,5174
175,5174
176,5174
177,5174
178,5174
179,5174
180,5174
181,5174
182,5174
183,5174
184,5174
185,5174
186,5174
187,5174
188,5174
189,5174
190,5174
191,5174
192,5174
193,5174
194,5174
195,5174
196,5174
197,5174
198,5174
199,5174
200,5174
201,5174
202,5174
203,5174
204,5174
205,5174
206,5174
207,5174
208,5174
209,5174
210,5174
211,5174
212,5174
213,5174
214,5174
215,5174
216,5174
217,5174
218,5174
219,5174
220,5174
221,5174
222,5174
223,5174
224,5174
225,5174
226,5174
227,5174
228,5174
229,5174
230,5174
231,5174
232,5174
233,5174
234,5174
235,5174
236,5174
237,5174
238,5174
239,5174
240,5174
241,5174
242,5174
243,5174
244,5174
245,5174
246,5174
247,5174
248,5174
249,5174
250,5174
251,5174
252,5174
253,5174
254,5174
255,5174
256,5174
257,5174
258,5174
259,5174
260,5174
261,5174
262,5174
263,5174
264,5174
265,5174
266,5174
267,5174
268,5174
269,5174
270,5174
271,5174
272,5174
273,5174
274,5174
275,5174
276,5174
277,5174
278,5174
279,5174
280,5174
281,5174
282,5174
283,5174
284,5174
285,5174
286,5174
287,5174
288,5174
289,5174
290,5174
291,5174
292,5174
293,5174
294,5174
295,5174
296,5174
297,5174
298,5174
299,5174
300,5174
301,5174
302,5174
303,5174
304,5174
305,5174
306,5174
307,5174
308,5174
309,5174
310,5174
311,5174
312,5174
313,5174
314,5174
315,5174
316,5174
317,5174
318,5174
319,5174
320,5174
321,5174
322,5174
323,5174
324,5174
325,5174
326,5174
327,5174
328,5174
329,5174
330,5174
331,5174
332,5174
333,5174
334,5174
335,5174
336,5174
337,5174
338,5174
339,5174
340,5174
341,5174
342,5174
343,5174
344,5174
345,5174
346,5174
347,5174
348,5174
349,5174
350,5174
351,5174
352,5174
353,5174
354,5174
355,5174
356,5174
357,5174
358,5174
359,5174
360,5174
361,5174
362,5174
363,5174
364,5174
365,5174
366,5174
367,5174
368,5174
369,5174
370,5174
371,5174
372,5174
373,5174
374,5174
375,5174
376,5174
377,5174
378,5174
379,5174
380,5174
381,5174
382,5174
383,5174
384,5174
385,5174
386,5174
387,5174
388,5174
389,5174
390,5174
391,5174
392,5174
393,5174
394,5174
395,5174
396,5174
397,5174
398,5174
399,5174
400,5174
401,5174
402,5174
403,5174
404,5174
405,5174
406,5174
407,5174
408,5174
409,5174
410,5174
411,5174
412,5174
413,5174
414,5174
415,5174
416,5174
417,5174
418,5174
419,5174
420,5174
421,5174
422,5174
423,5174
424,5174
425,5174
426,5174
427,5174
428,5174
429,5174
430,5174
431,5174
432,5174
433,5174
434,5174
435,5174
436,5174
437,5174
438,5174
439,5174
440,5174
441,5174
442,5174
443,5174
444,5174
445,5174
446,5174
447,5174
448,5174
449,5174
450,5174
451,5174
452,5174
453,5174
454,5174
455,5174
456,5174
457,5174
458,5174
459,5174
460,5174
461,5174
462,5174
463,5174
464,5174
465,5174
466,5174
467,5174
468,5174
469,5174
470,5174
471,5174
472,5174
473,5174
474,5174
475,5174
476,5174
477,5174
478,5174
479,5174
480,5174
481,5174
482,5174
483,5174
484,5174
485,5174
486,5174
487,5174
488,5174
489,5174
490,5174
491,5174
492,5174
493,5174
494,5174
495,5174
496,5174
497,5174
498,5174
499,5174
500,5174
501,5174
502,5174
503,5174
504,5174
505,5174
506,5174
507,5174
508,5174
509,5174
510,5174
511,5174
512,5174
513,5174
514,5174
515,5174
516,5174
517,5174
518,5174
519,5174
520,5174
521,5174
522,5174
523,5174
524,5174
525,5174
526,5174
527,5174
528,5174
529,5174
530,5174
531,5174
532,5174
533,5174
534,5174
535,5174
536,5174
537,5174
538,5174
539,5174
540,5174
541,5174
542,5174
543,5174
544,5174
545,5174
546,5174
547,5174
548,5174
549,5174
550,5174
551,5174
552,5174
553,5174
554,5174
555,5174
556,5174
557,5174
558,5174
559,5174
560,5174
561,5174
562,5174
563,5174
564,5174
565,5174
566,5174
567,5174
568,5174
569,5174
570,5174
571,5174
572,5174
573,5174
574,5174
575,5174
576,5174
577,5174
578,5174
579,5174
580,5174
581,5174
582,5174
583,5174
584,5174
585,5174
586,5174
587,5174
588,5174
589,5174
590,5174
591,5174
592,5174
593,5174
594,5174
595,5174
596,5174
597,5174
598,5174
599,5174
600,5174
601,5174
602,5174
603,5174
604,5174
605,5174
606,5174
607,5174
608,5174
609,5174
610,5174
611,5174
612,5174
613,5174
614,5174
615,5174
616,5174
617,5174
618,5174
619,5174
620,5174
621,5174
622,5174
623,5174
624,5174
625,5174
626,5174
627,5174
628,5174
629,5174
630,5174
631,5174
632,5174
633,5174
634,5174
635,5174
636,5174
637,5174
638,5174
639,5174
640,5174
641,5174
642,5174
643,5174
644,5174
645,5174
646,5174
647,5174
648,5174
649,5174
650,5174
651,5174
652,5174
653,5174
654,5174
655,5174
656,5174
657,5174
658,5174
659,5174
660,5174
661,5174
662,5174
663,5174
664,5174
665,5174
666,5174
667,5174
668,5174
669,5174
670,5174
671,5174
672,5174
673,5174
674,5174
675,5174
676,5174
677,5174
678,5174
679,5174
680,5174
681,5174
682,5174
683,5174
684,5174
685,5174
686,5174
687,5174
688,5174
689,5174
690,5174
