Iteraciones (eje x),Media de la población i-ésima (Eje y)
1,460.6666666666667
2,494.4166666666667
3,73.70833333333333
4,402.2083333333333
5,442.2916666666667
6,382.1666666666667
7,465.875
8,528.5
9,503.0833333333333
10,296.8333333333333
11,508.4583333333333
12,548.3333333333334
13,459.75
14,583.9166666666666
15,553.0
16,318.5
17,570.0416666666666
18,578.5
19,203.625
20,409.875
21,383.7916666666667
22,304.0
23,583.9166666666666
24,171.625
25,288.5
26,491.25
27,401.875
28,389.5833333333333
29,418.9166666666667
30,408.3333333333333
31,419.6666666666667
32,285.7083333333333
33,554.0416666666666
34,601.7083333333334
35,582.4166666666666
36,532.0
37,637.0
38,474.1666666666667
39,359.0416666666667
40,228.33333333333334
41,189.41666666666666
42,258.4583333333333
43,604.7083333333334
44,519.5416666666666
45,364.75
46,481.9583333333333
47,408.9166666666667
48,218.33333333333334
49,417.6666666666667
50,237.33333333333334
51,528.0416666666666
52,606.8333333333334
53,583.9166666666666
54,522.0833333333334
55,178.875
56,288.4166666666667
57,167.5
58,278.6666666666667
59,479.75
60,490.625
61,579.0
62,469.5416666666667
63,318.5
64,621.0
65,610.75
66,580.3333333333334
67,514.8333333333334
68,256.3333333333333
69,576.6666666666666
70,244.29166666666666
71,461.125
72,502.5
73,584.2083333333334
74,456.0
75,514.375
76,466.0416666666667
77,398.375
78,413.8333333333333
79,446.75
80,474.125
81,194.54166666666666
82,180.375
83,422.6666666666667
84,583.9166666666666
85,606.8333333333334
86,601.7083333333334
87,443.1666666666667
88,493.75
89,194.54166666666666
90,566.4166666666666
91,470.1666666666667
92,500.7916666666667
93,522.7916666666666
94,428.7083333333333
95,447.0833333333333
96,415.7916666666667
97,512.0416666666666
98,425.125
99,510.6666666666667
100,512.9166666666666
101,431.5416666666667
102,172.75
103,184.66666666666666
104,44.916666666666664
105,116.375
106,498.1666666666667
107,447.375
108,266.1666666666667
109,197.20833333333334
110,530.625
111,384.125
112,189.08333333333334
113,606.8333333333334
114,516.9583333333334
115,505.75
116,529.0416666666666
117,587.5416666666666
118,548.625
119,595.9583333333334
120,637.0
121,624.625
122,583.9166666666666
123,342.875
124,355.25
125,217.75
126,495.5416666666667
127,106.16666666666667
128,221.08333333333334
129,365.2916666666667
130,458.25
131,548.625
132,619.2083333333334
133,552.7916666666666
134,585.4166666666666
135,606.8333333333334
136,247.625
137,566.125
138,235.25
139,619.2083333333334
140,559.7083333333334
141,184.0
142,387.375
143,507.9166666666667
144,256.6666666666667
145,605.3333333333334
146,614.0833333333334
147,543.2083333333334
148,467.0
149,536.0
150,522.625
151,283.2083333333333
152,512.75
153,543.4166666666666
154,585.7083333333334
155,424.0416666666667
156,173.45833333333334
157,185.79166666666666
158,299.5416666666667
159,229.375
160,288.3333333333333
161,539.5833333333334
162,254.875
163,431.7083333333333
164,571.5416666666666
165,523.4166666666666
166,500.4166666666667
167,159.79166666666666
168,428.2083333333333
169,208.25
170,371.9166666666667
171,145.16666666666666
172,514.4166666666666
173,458.6666666666667
174,435.5416666666667
175,151.375
176,124.45833333333333
177,234.0
178,373.4583333333333
179,242.91666666666666
180,283.7083333333333
181,521.2083333333334
182,442.7916666666667
183,148.33333333333334
184,467.0833333333333
185,316.0
186,454.5833333333333
187,612.75
188,542.5
189,438.7083333333333
190,401.2083333333333
191,213.16666666666666
192,179.95833333333334
193,494.5
194,505.9166666666667
195,521.2083333333334
196,491.75
197,523.9166666666666
198,597.7916666666666
199,620.0
200,542.5
201,521.7916666666666
202,377.375
203,583.2916666666666
204,210.29166666666666
205,158.625
206,516.6666666666666
207,435.5416666666667
208,273.2916666666667
209,498.0833333333333
210,498.0833333333333
211,258.3333333333333
212,258.3333333333333
213,528.0
214,461.375
215,177.20833333333334
216,491.75
217,435.5416666666667
218,439.1666666666667
219,251.20833333333334
220,417.875
221,203.04166666666666
222,546.125
223,520.2916666666666
224,490.8333333333333
225,542.5
226,324.0416666666667
227,620.0
228,465.0
229,143.33333333333334
230,174.41666666666666
231,397.0
232,373.0833333333333
233,375.5416666666667
234,188.79166666666666
235,513.9583333333334
236,590.5416666666666
237,571.9583333333334
238,568.3333333333334
239,594.1666666666666
240,473.1666666666667
241,276.0
242,280.5416666666667
243,465.9166666666667
244,151.375
245,280.5416666666667
246,546.125
247,542.5
248,155.0
249,224.45833333333334
250,538.875
251,465.0
252,254.70833333333334
253,576.5
254,516.6666666666666
255,472.25
256,189.58333333333334
257,465.0
258,538.875
259,498.0833333333333
