Iteraciones (eje x),Mejor individuo hasta el momento (Eje y)
1,550
2,550
3,550
4,550
5,637
6,637
7,637
8,637
9,637
10,637
11,637
12,637
13,637
14,637
15,637
16,637
17,637
18,637
19,637
20,637
21,637
22,637
23,637
24,637
25,637
26,637
27,637
28,637
29,637
30,637
31,637
32,637
33,637
34,637
35,637
36,637
37,637
38,637
39,637
40,637
41,637
42,637
43,637
44,637
45,637
46,637
47,637
48,637
49,637
50,637
51,637
52,637
53,637
54,637
55,637
56,637
57,637
58,637
59,637
60,637
61,637
62,637
63,637
64,637
65,637
66,637
67,637
68,637
69,637
70,637
71,637
72,637
73,637
74,637
75,637
76,637
77,637
78,637
79,637
80,637
81,637
82,637
83,637
84,637
85,637
86,637
87,637
88,637
89,637
90,637
91,637
92,637
93,637
94,637
95,637
96,637
97,637
98,637
99,637
100,637
101,637
102,637
103,637
104,637
105,637
106,637
107,637
108,637
109,637
110,637
111,637
112,637
113,637
114,637
115,637
116,637
117,637
118,637
119,637
120,637
121,637
122,637
123,637
124,637
125,637
126,637
127,637
128,637
129,637
130,637
131,637
132,637
133,637
134,637
135,637
136,637
137,637
138,637
139,637
140,637
141,637
142,637
143,637
144,637
145,637
146,637
147,637
148,637
149,637
150,637
151,637
152,637
153,637
154,637
155,637
156,637
157,637
158,637
159,637
160,637
161,637
162,637
163,637
164,637
165,637
166,637
167,637
168,637
169,637
170,637
171,637
172,637
173,637
174,637
175,637
176,637
177,637
178,637
179,637
180,637
181,637
182,637
183,637
184,637
185,637
186,637
187,637
188,637
189,637
190,637
191,637
192,637
193,637
194,637
195,637
196,637
197,637
198,637
199,637
200,637
201,637
202,637
203,637
204,637
205,637
206,637
207,637
208,637
209,637
210,637
211,637
212,637
213,637
214,637
215,637
216,637
217,637
218,637
219,637
220,637
221,637
222,637
223,637
224,637
225,637
226,637
227,637
228,637
229,637
230,637
231,637
232,637
233,637
234,637
235,637
236,637
237,637
238,637
239,637
240,637
241,637
242,637
243,637
244,637
245,637
246,637
247,637
248,637
249,637
250,637
251,637
252,637
253,637
254,637
255,637
256,637
257,637
258,637
259,637
260,637
261,637
262,637
263,637
264,637
265,637
266,637
267,637
268,637
269,637
270,637
271,637
272,637
273,637
274,637
275,637
276,637
277,637
278,637
279,637
280,637
281,637
282,637
283,637
284,637
285,637
286,637
287,637
288,637
289,637
290,637
291,637
292,637
293,637
294,637
295,637
296,637
297,637
298,637
299,637
300,637
301,637
302,637
303,637
304,637
305,637
306,637
307,637
308,637
309,637
310,637
311,637
312,637
313,637
314,637
315,637
316,637
317,637
318,637
319,637
320,637
321,637
322,637
323,637
324,637
325,637
326,637
327,637
328,637
329,637
330,637
331,637
332,637
333,637
334,637
335,637
336,637
337,637
338,637
339,637
340,637
341,637
342,637
343,637
344,637
345,637
346,637
347,637
348,637
349,637
350,637
351,637
352,637
353,637
354,637
355,637
356,637
357,637
358,637
359,637
360,637
361,637
362,637
363,637
364,637
365,637
366,637
367,637
368,637
369,637
370,637
371,637
372,637
373,637
374,637
375,637
376,637
377,637
378,637
379,637
380,637
381,637
382,637
383,637
384,637
385,637
386,637
387,637
388,637
389,637
390,637
391,637
392,637
393,637
394,637
395,637
396,637
397,637
398,637
399,637
400,637
401,637
402,637
403,637
404,637
405,637
406,637
407,637
408,637
409,637
410,637
411,637
412,637
413,637
414,637
415,637
416,637
417,637
418,637
419,637
420,637
421,637
422,637
423,637
424,637
425,637
426,637
427,637
428,637
429,637
430,637
431,637
432,637
433,637
434,637
435,637
436,637
437,637
438,637
439,637
440,637
441,637
442,637
443,637
444,637
445,637
446,637
447,637
448,637
449,637
450,637
451,637
452,637
453,637
454,637
455,637
456,637
457,637
458,637
459,637
460,637
461,637
462,637
463,637
464,637
465,637
466,637
467,637
468,637
469,637
470,637
471,637
472,637
473,637
474,637
475,637
476,637
477,637
478,637
479,637
480,637
481,637
482,637
483,637
484,637
485,637
486,637
487,637
488,637
489,637
490,637
491,637
492,637
493,637
494,637
495,637
496,637
497,637
498,637
499,637
500,637
501,637
502,637
503,637
504,637
505,637
506,637
507,637
508,637
509,637
510,637
511,637
512,637
513,637
514,637
515,637
516,637
517,637
518,637
519,637
520,637
521,637
522,637
523,637
524,637
525,637
526,637
527,637
528,637
529,637
530,637
531,637
532,637
533,637
534,637
535,637
536,637
537,637
538,637
539,637
540,637
541,637
542,637
543,637
544,637
545,637
546,637
547,637
548,637
549,637
550,637
551,637
552,637
553,637
554,637
555,637
556,637
557,637
558,637
